funding_amount_m,team_size,years_active,market_size_m,num_competitors,revenue_year1_m,burn_rate_m,customer_count,product_score,marketing_spend_m,industry,funding_stage,future_revenue_m,success
4.92,109,9.8,141.6,29,1.23,0.181,8218,5,0.3,EdTech,Series B,11.82,1
3.39,25,8.8,10.2,33,1.34,0.161,780,4,0.46,Logistics,Series A,9.83,0
4.26,82,11.5,656.3,60,0.83,0.044,1909,8,0.61,EdTech,Pre-Seed,9.52,1
0.84,75,0.7,599.6,55,0.26,0.018,4064,2,0.2,Cybersecurity,Series A,7.0,0
0.51,31,2.8,1016.5,10,0.18,0.014,617,10,0.09,Cybersecurity,Pre-Seed,6.13,1
0.1,60,0.6,1767.7,47,0.03,0.005,1717,9,0.01,BioTech,Seed,7.18,1
1.51,111,7.9,66.2,23,0.29,0.073,2424,7,0.23,E-Commerce,Series B,9.99,0
3.12,88,10.8,1051.9,21,0.98,0.084,896,7,0.2,Cybersecurity,Seed,13.15,1
1.74,97,3.3,166.0,13,0.21,0.069,6505,1,0.43,SaaS,Seed,6.13,0
2.01,82,11.2,1562.5,33,0.33,0.061,1975,2,0.25,CleanTech,Pre-Seed,9.8,0
8.21,115,1.2,1367.7,24,1.98,0.252,4654,4,1.2,HealthTech,Series A,22.19,0
1.5,116,11.2,622.6,11,0.38,0.03,956,4,0.18,Cybersecurity,Series C,9.85,1
2.53,82,4.5,991.0,17,0.15,0.044,4710,3,0.47,BioTech,Pre-Seed,9.49,1
5.36,15,1.7,301.9,68,2.04,0.109,446,7,0.98,HealthTech,Series C,9.79,0
1.77,10,6.1,509.7,47,0.52,0.056,608,8,0.34,SaaS,Seed,7.09,0
3.41,41,3.5,1379.1,25,0.76,0.033,1473,2,0.35,E-Commerce,Series C,8.66,0
6.94,67,3.8,491.9,73,2.61,0.32,1318,4,0.79,FinTech,Series A,13.48,1
10.45,110,4.0,354.3,21,2.13,0.155,4783,3,0.78,EdTech,Pre-Seed,18.43,1
0.56,26,9.7,545.3,12,0.22,0.01,384,2,0.1,SaaS,Series A,5.87,0
9.14,104,6.7,1409.4,37,2.1,0.274,3956,6,0.53,Logistics,Series A,18.63,1
2.37,74,4.1,326.6,42,0.21,0.09,2131,4,0.4,AI/ML,Pre-Seed,3.68,0
1.05,119,7.5,152.7,17,0.33,0.013,8734,6,0.24,BioTech,Series A,9.29,1
2.15,23,8.7,995.9,48,0.62,0.046,220,2,0.49,EdTech,Series B,10.5,0
13.7,108,3.6,1398.9,28,4.39,0.667,6161,4,1.92,Logistics,Series B,23.76,1
2.37,111,5.3,84.9,41,0.91,0.046,2076,6,0.34,FinTech,Series B,12.7,0
1.4,5,1.9,219.4,47,0.45,0.03,144,5,0.09,Logistics,Series C,6.42,0
3.51,27,2.6,122.5,18,0.93,0.152,976,3,0.65,E-Commerce,Series A,6.25,0
0.96,59,8.3,342.1,78,0.34,0.01,4312,8,0.21,AI/ML,Pre-Seed,6.83,0
0.28,30,2.6,478.8,71,0.08,0.008,695,7,0.03,HealthTech,Pre-Seed,2.06,0
0.48,110,6.5,1105.3,13,0.09,0.012,1303,3,0.06,EdTech,Series C,10.72,0
0.48,99,8.7,842.5,13,0.17,0.01,2861,6,0.1,AI/ML,Pre-Seed,8.7,0
0.58,88,1.7,776.0,31,0.07,0.012,1130,4,0.13,CleanTech,Series B,8.45,0
0.52,38,7.0,347.6,2,0.16,0.006,556,5,0.05,SaaS,Series A,3.4,0
3.58,76,3.5,1473.3,16,1.28,0.077,3650,5,0.57,CleanTech,Pre-Seed,13.06,1
0.7,71,11.6,509.8,9,0.21,0.007,679,7,0.06,SaaS,Pre-Seed,8.35,0
1.48,19,6.1,3094.6,73,0.44,0.06,139,5,0.1,E-Commerce,Seed,12.2,0
7.95,86,9.8,804.4,38,2.49,0.198,5037,3,1.85,AI/ML,Seed,13.97,0
2.25,43,6.8,108.0,75,0.48,0.06,1381,10,0.48,FinTech,Seed,9.96,1
3.85,101,1.0,902.0,54,1.37,0.175,1454,5,0.78,Cybersecurity,Series A,12.55,1
0.66,42,7.8,314.6,56,0.08,0.024,1008,7,0.04,Logistics,Series B,3.49,0
0.75,39,11.4,927.5,45,0.07,0.007,2073,5,0.16,Cybersecurity,Series B,6.4,0
0.15,35,7.4,57.7,34,0.02,0.007,898,5,0.02,AI/ML,Series B,4.02,0
0.65,18,9.9,153.8,9,0.15,0.012,757,9,0.08,CleanTech,Series A,5.66,0
1.14,38,10.7,1548.9,8,0.26,0.015,536,3,0.18,Cybersecurity,Series A,9.82,1
0.68,26,3.1,206.2,7,0.23,0.027,1276,6,0.05,BioTech,Seed,4.57,0
0.33,103,2.9,1451.4,36,0.06,0.01,2956,1,0.07,Cybersecurity,Pre-Seed,9.08,1
0.45,77,7.5,262.0,18,0.1,0.012,4005,10,0.07,SaaS,Series C,7.19,1
2.16,88,5.2,823.8,3,0.12,0.04,5775,5,0.19,BioTech,Series C,10.48,1
0.81,118,10.2,947.7,28,0.16,0.025,6003,8,0.07,EdTech,Pre-Seed,12.24,1
1.59,107,10.9,575.0,70,0.44,0.031,2908,5,0.14,Cybersecurity,Seed,9.61,0
2.45,87,4.6,291.4,44,0.14,0.112,2103,9,0.15,BioTech,Pre-Seed,6.65,0
4.1,86,3.2,191.3,21,0.61,0.071,2541,6,0.69,AI/ML,Pre-Seed,11.94,1
0.14,28,9.5,27.0,28,0.02,0.006,485,8,0.03,Logistics,Series C,2.9,0
5.62,58,3.7,289.9,54,0.36,0.178,1078,10,0.3,EdTech,Seed,8.94,1
3.46,32,10.0,847.1,54,0.75,0.148,2057,8,0.21,FinTech,Series A,9.99,1
0.3,7,5.4,2228.4,65,0.03,0.011,236,3,0.05,FinTech,Series C,5.25,0
7.24,92,8.2,1639.6,21,2.24,0.271,3468,7,1.55,E-Commerce,Series A,16.32,1
8.88,41,1.6,1162.2,13,3.08,0.194,2031,7,1.02,Cybersecurity,Seed,14.43,1
0.22,99,7.7,1242.6,57,0.05,0.004,4873,10,0.03,Logistics,Pre-Seed,13.2,1
1.13,13,5.7,874.9,49,0.44,0.019,130,6,0.19,HealthTech,Series B,5.73,0
5.74,110,7.2,241.2,54,1.19,0.253,7410,7,0.6,BioTech,Series B,17.46,1
4.83,54,2.4,1901.8,10,1.11,0.205,988,2,0.27,EdTech,Seed,10.39,0
